ArchiveDate,Hospital_Name,Adult_Child,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
30/01/2025,Bantry General Hospital,Adult,432,49,0,0,480
30/01/2025,Beaumont Hospital,Adult,"1,657",64,12,3,"1,737"
30/01/2025,Cavan General Hospital,Adult,684,0,0,0,684
30/01/2025,Connolly Hospital Blanchardstown,Adult,903,0,0,0,903
30/01/2025,Cork University Hospital,Adult,929,84,0,0,"1,013"
30/01/2025,Ennis Hospital,Adult,637,116,2,0,755
30/01/2025,Galway University Hospitals,Adult,"1,371",118,0,0,"1,490"
30/01/2025,Letterkenny University Hospital,Adult,"1,094",75,13,2,"1,184"
30/01/2025,Louth County Hospital,Adult,"1,600",13,0,0,"1,613"
30/01/2025,Mallow General Hospital,Adult,394,136,0,0,530
30/01/2025,Mater Misericordiae University Hospital,Adult,"1,360",154,22,31,"1,567"
30/01/2025,Mayo University Hospital,Adult,437,131,32,15,616
30/01/2025,Mercy University Hospital,Adult,572,0,0,0,572
30/01/2025,Midland Regional Hospital Mullingar,Adult,944,17,2,0,964
30/01/2025,Midland Regional Hospital Portlaoise,Adult,372,113,63,18,567
30/01/2025,Midland Regional Hospital Tullamore,Adult,756,281,26,0,"1,063"
30/01/2025,Naas General Hospital,Adult,723,23,0,0,745
30/01/2025,Nenagh Hospital,Adult,256,2,2,0,259
30/01/2025,Our Lady's Hospital Navan,Adult,560,5,2,2,569
30/01/2025,Portiuncula University Hospital,Adult,339,0,0,0,339
30/01/2025,Roscommon University Hospital,Adult,478,156,7,0,641
30/01/2025,Sligo University Hospital,Adult,891,53,3,0,947
30/01/2025,Small Volume Hospitals,Adult,2,0,0,0,2
30/01/2025,South Infirmary Victoria University Hospital,Adult,265,14,0,0,279
30/01/2025,St. Columcille's Hospital,Adult,373,23,0,0,396
30/01/2025,St. James's Hospital,Adult,721,388,178,46,"1,332"
30/01/2025,St. John's Hospital Limerick,Adult,402,129,0,2,533
30/01/2025,St. Luke's General Hospital Kilkenny,Adult,805,48,7,0,860
30/01/2025,St. Michael's Hospital,Adult,452,232,3,0,687
30/01/2025,St. Vincent's University Hospital,Adult,227,2,0,0,229
30/01/2025,Tallaght University Hospital,Adult,"1,087",13,0,2,"1,101"
30/01/2025,Tipperary University Hospital,Adult,687,65,14,0,767
30/01/2025,University Hospital Kerry,Adult,514,0,0,0,514
30/01/2025,University Hospital Limerick,Adult,553,130,2,0,684
30/01/2025,University Hospital Waterford,Adult,645,14,5,0,665
30/01/2025,Wexford General Hospital,Adult,387,5,0,0,392
30/01/2025,Children's Health Ireland,Child,241,75,42,34,392
