Archive_Date,Hospital_Group,Hospital_HIPE,Hospital_Name,Specialty_HIPE,Specialty_Name,Case_Type,Adult_Child,Age_Profile,Time_Bands,Total
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Inpatient,Child,0-15,18+ Months,1
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,7200,Paediatric Surgery,Day Case,Child,0-15,  6-9 Months,3
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,7200,Paediatric Surgery,Inpatient,Child,0-15,  0-3 Months,4
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,7200,Paediatric Surgery,Inpatient,Child,0-15,  6-9 Months,1
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,7200,Paediatric Surgery,Inpatient,Child,0-15, 12-15 Months,2
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,7200,Paediatric Surgery,Inpatient,Child,16-64,  0-3 Months,1
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Day Case,Adult,16-64,  0-3 Months,153
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Day Case,Adult,16-64,  3-6 Months,87
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Day Case,Adult,16-64,  6-9 Months,107
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Day Case,Adult,16-64,  9-12 Months,62
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Day Case,Adult,16-64, 12-15 Months,80
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Day Case,Adult,16-64, 15-18 Months,49
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Day Case,Adult,16-64,18+ Months,36
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Day Case,Adult,65+,  0-3 Months,40
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Day Case,Adult,65+,  3-6 Months,16
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Day Case,Adult,65+,  6-9 Months,17
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Day Case,Adult,65+,  9-12 Months,19
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Day Case,Adult,65+, 12-15 Months,23
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Day Case,Adult,65+, 15-18 Months,12
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Day Case,Adult,65+,18+ Months,16
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Inpatient,Adult,16-64,  3-6 Months,1
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Inpatient,Adult,16-64, 12-15 Months,1
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Inpatient,Adult,16-64, 15-18 Months,1
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Inpatient,Adult,16-64,18+ Months,4
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Inpatient,Adult,65+,18+ Months,4
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,5000,General Medicine,Day Case,Adult,16-64,  0-3 Months,108
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,5000,General Medicine,Day Case,Adult,16-64,  3-6 Months,110
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,5000,General Medicine,Day Case,Adult,16-64,  6-9 Months,97
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,5000,General Medicine,Day Case,Adult,16-64,  9-12 Months,77
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,5000,General Medicine,Day Case,Adult,16-64, 12-15 Months,131
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,5000,General Medicine,Day Case,Adult,16-64, 15-18 Months,96
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,5000,General Medicine,Day Case,Adult,16-64,18+ Months,55
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,5000,General Medicine,Day Case,Adult,65+,  0-3 Months,34
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,5000,General Medicine,Day Case,Adult,65+,  3-6 Months,28
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,5000,General Medicine,Day Case,Adult,65+,  6-9 Months,36
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,5000,General Medicine,Day Case,Adult,65+,  9-12 Months,27
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,5000,General Medicine,Day Case,Adult,65+, 12-15 Months,36
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,5000,General Medicine,Day Case,Adult,65+, 15-18 Months,32
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,5000,General Medicine,Day Case,Adult,65+,18+ Months,16
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,5000,General Medicine,Inpatient,Adult,16-64,  9-12 Months,1
28/01/2021,Dublin Midlands Hospital Group,0102,Naas General Hospital,5000,General Medicine,Inpatient,Adult,16-64,18+ Months,4
28/01/2021,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Day Case,Adult,16-64,  0-3 Months,151
28/01/2021,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Day Case,Adult,16-64,  3-6 Months,77
28/01/2021,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Day Case,Adult,16-64,  6-9 Months,39
28/01/2021,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Day Case,Adult,16-64,  9-12 Months,26
28/01/2021,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Day Case,Adult,16-64, 12-15 Months,33
28/01/2021,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Day Case,Adult,16-64, 15-18 Months,31
28/01/2021,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Day Case,Adult,16-64,18+ Months,61
28/01/2021,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Day Case,Adult,65+,  0-3 Months,50
28/01/2021,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Day Case,Adult,65+,  3-6 Months,20
28/01/2021,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Day Case,Adult,65+,  6-9 Months,11
28/01/2021,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Day Case,Adult,65+,  9-12 Months,7
28/01/2021,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Day Case,Adult,65+, 12-15 Months,8
28/01/2021,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Day Case,Adult,65+, 15-18 Months,10
28/01/2021,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Day Case,Adult,65+,18+ Months,20
28/01/2021,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Inpatient,Adult,16-64,  0-3 Months,3
28/01/2021,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Inpatient,Adult,16-64,  9-12 Months,1
28/01/2021,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Inpatient,Adult,16-64,18+ Months,1
28/01/2021,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Inpatient,Adult,65+,  0-3 Months,2
28/01/2021,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Inpatient,Adult,65+,  9-12 Months,2
28/01/2021,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Inpatient,Adult,65+, 12-15 Months,1
28/01/2021,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,0000,Small Volume Specialities,Inpatient,Adult,16-64,  0-3 Months,1
28/01/2021,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,2600,General Surgery,Day Case,Adult,16-64,  0-3 Months,124
28/01/2021,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,2600,General Surgery,Day Case,Adult,16-64,  3-6 Months,71
28/01/2021,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,2600,General Surgery,Day Case,Adult,16-64,  6-9 Months,9
28/01/2021,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,2600,General Surgery,Day Case,Adult,16-64,  9-12 Months,5
28/01/2021,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,2600,General Surgery,Day Case,Adult,65+,  0-3 Months,58
28/01/2021,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,2600,General Surgery,Day Case,Adult,65+,  3-6 Months,27
28/01/2021,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,2600,General Surgery,Day Case,Adult,65+,  6-9 Months,5
28/01/2021,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,2600,General Surgery,Day Case,Adult,65+,  9-12 Months,1
28/01/2021,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,2600,General Surgery,Day Case,Child,0-15,  0-3 Months,1
28/01/2021,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,5000,General Medicine,Day Case,Adult,16-64,  0-3 Months,54
28/01/2021,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,5000,General Medicine,Day Case,Adult,16-64,  3-6 Months,44
28/01/2021,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,5000,General Medicine,Day Case,Adult,16-64,  6-9 Months,14
28/01/2021,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,5000,General Medicine,Day Case,Adult,16-64,  9-12 Months,14
28/01/2021,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,5000,General Medicine,Day Case,Adult,65+,  0-3 Months,12
28/01/2021,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,5000,General Medicine,Day Case,Adult,65+,  3-6 Months,19
28/01/2021,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,5000,General Medicine,Day Case,Adult,65+,  6-9 Months,5
28/01/2021,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,5000,General Medicine,Day Case,Adult,65+,  9-12 Months,2
28/01/2021,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,5000,General Medicine,Inpatient,Adult,16-64,  3-6 Months,1
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0000,Small Volume Specialities,Day Case,Adult,65+,  3-6 Months,1
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0000,Small Volume Specialities,Day Case,Adult,65+, 12-15 Months,1
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0000,Small Volume Specialities,Day Case,Adult,65+,18+ Months,1
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0000,Small Volume Specialities,Inpatient,Adult,65+,  6-9 Months,1
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64,  0-3 Months,274
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64,  3-6 Months,243
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64,  6-9 Months,82
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64,  9-12 Months,118
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64, 12-15 Months,69
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64, 15-18 Months,7
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64,18+ Months,2
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0700,Gastro-Enterology,Day Case,Adult,65+,  0-3 Months,91
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0700,Gastro-Enterology,Day Case,Adult,65+,  3-6 Months,85
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0700,Gastro-Enterology,Day Case,Adult,65+,  6-9 Months,22
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0700,Gastro-Enterology,Day Case,Adult,65+,  9-12 Months,47
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0700,Gastro-Enterology,Day Case,Adult,65+, 12-15 Months,20
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0700,Gastro-Enterology,Day Case,Adult,65+, 15-18 Months,4
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,2600,General Surgery,Day Case,Adult,16-64,  0-3 Months,135
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,2600,General Surgery,Day Case,Adult,16-64,  3-6 Months,107
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,2600,General Surgery,Day Case,Adult,16-64,  6-9 Months,74
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,2600,General Surgery,Day Case,Adult,16-64,  9-12 Months,87
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,2600,General Surgery,Day Case,Adult,16-64, 12-15 Months,49
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,2600,General Surgery,Day Case,Adult,16-64, 15-18 Months,21
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,2600,General Surgery,Day Case,Adult,16-64,18+ Months,13
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,2600,General Surgery,Day Case,Adult,65+,  0-3 Months,56
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,2600,General Surgery,Day Case,Adult,65+,  3-6 Months,51
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,2600,General Surgery,Day Case,Adult,65+,  6-9 Months,35
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,2600,General Surgery,Day Case,Adult,65+,  9-12 Months,71
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,2600,General Surgery,Day Case,Adult,65+, 12-15 Months,22
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,2600,General Surgery,Day Case,Adult,65+, 15-18 Months,8
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,2600,General Surgery,Day Case,Adult,65+,18+ Months,14
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,2600,General Surgery,Inpatient,Adult,16-64,  0-3 Months,2
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,2600,General Surgery,Inpatient,Adult,16-64, 12-15 Months,2
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,2600,General Surgery,Inpatient,Adult,65+,  0-3 Months,2
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,2600,General Surgery,Inpatient,Adult,65+,  3-6 Months,2
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,2600,General Surgery,Inpatient,Adult,65+,  9-12 Months,2
28/01/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,2600,General Surgery,Inpatient,Adult,65+, 12-15 Months,1
28/01/2021,Dublin Midlands Hospital Group,1270,Tallaght University Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64,  0-3 Months,362
28/01/2021,Dublin Midlands Hospital Group,1270,Tallaght University Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64,  3-6 Months,362
28/01/2021,Dublin Midlands Hospital Group,1270,Tallaght University Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64,  6-9 Months,289
28/01/2021,Dublin Midlands Hospital Group,1270,Tallaght University Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64,  9-12 Months,282
28/01/2021,Dublin Midlands Hospital Group,1270,Tallaght University Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64, 12-15 Months,226
28/01/2021,Dublin Midlands Hospital Group,1270,Tallaght University Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64, 15-18 Months,96
28/01/2021,Dublin Midlands Hospital Group,1270,Tallaght University Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64,18+ Months,94
28/01/2021,Dublin Midlands Hospital Group,1270,Tallaght University Hospital,0700,Gastro-Enterology,Day Case,Adult,65+,  0-3 Months,148
28/01/2021,Dublin Midlands Hospital Group,1270,Tallaght University Hospital,0700,Gastro-Enterology,Day Case,Adult,65+,  3-6 Months,132
28/01/2021,Dublin Midlands Hospital Group,1270,Tallaght University Hospital,0700,Gastro-Enterology,Day Case,Adult,65+,  6-9 Months,76
28/01/2021,Dublin Midlands Hospital Group,1270,Tallaght University Hospital,0700,Gastro-Enterology,Day Case,Adult,65+,  9-12 Months,96
28/01/2021,Dublin Midlands Hospital Group,1270,Tallaght University Hospital,0700,Gastro-Enterology,Day Case,Adult,65+, 12-15 Months,94
28/01/2021,Dublin Midlands Hospital Group,1270,Tallaght University Hospital,0700,Gastro-Enterology,Day Case,Adult,65+, 15-18 Months,36
28/01/2021,Dublin Midlands Hospital Group,1270,Tallaght University Hospital,0700,Gastro-Enterology,Day Case,Adult,65+,18+ Months,37
28/01/2021,Dublin Midlands Hospital Group,1270,Tallaght University Hospital,0700,Gastro-Enterology,Inpatient,Adult,16-64,18+ Months,1
28/01/2021,Dublin Midlands Hospital Group,1270,Tallaght University Hospital,2600,General Surgery,Day Case,Adult,16-64,  0-3 Months,170
28/01/2021,Dublin Midlands Hospital Group,1270,Tallaght University Hospital,2600,General Surgery,Day Case,Adult,16-64,  3-6 Months,131
28/01/2021,Dublin Midlands Hospital Group,1270,Tallaght University Hospital,2600,General Surgery,Day Case,Adult,16-64,  6-9 Months,98
28/01/2021,Dublin Midlands Hospital Group,1270,Tallaght University Hospital,2600,General Surgery,Day Case,Adult,16-64,  9-12 Months,70
28/01/2021,Dublin Midlands Hospital Group,1270,Tallaght University Hospital,2600,General Surgery,Day Case,Adult,16-64, 12-15 Months,88
28/01/2021,Dublin Midlands Hospital Group,1270,Tallaght University Hospital,2600,General Surgery,Day Case,Adult,16-64, 15-18 Months,63
28/01/2021,Dublin Midlands Hospital Group,1270,Tallaght University Hospital,2600,General Surgery,Day Case,Adult,16-64,18+ Months,119
28/01/2021,Dublin Midlands Hospital Group,1270,Tallaght University Hospital,2600,General Surgery,Day Case,Adult,65+,  0-3 Months,59
28/01/2021,Dublin Midlands Hospital Group,1270,Tallaght University Hospital,2600,General Surgery,Day Case,Adult,65+,  3-6 Months,54
28/01/2021,Dublin Midlands Hospital Group,1270,Tallaght University Hospital,2600,General Surgery,Day Case,Adult,65+,  6-9 Months,36
28/01/2021,Dublin Midlands Hospital Group,1270,Tallaght University Hospital,2600,General Surgery,Day Case,Adult,65+,  9-12 Months,28
28/01/2021,Dublin Midlands Hospital Group,1270,Tallaght University Hospital,2600,General Surgery,Day Case,Adult,65+, 12-15 Months,31
28/01/2021,Dublin Midlands Hospital Group,1270,Tallaght University Hospital,2600,General Surgery,Day Case,Adult,65+, 15-18 Months,33
28/01/2021,Dublin Midlands Hospital Group,1270,Tallaght University Hospital,2600,General Surgery,Day Case,Adult,65+,18+ Months,39
28/01/2021,Dublin Midlands Hospital Group,1270,Tallaght University Hospital,2600,General Surgery,Inpatient,Adult,16-64,  0-3 Months,1
28/01/2021,Dublin Midlands Hospital Group,1270,Tallaght University Hospital,2600,General Surgery,Inpatient,Adult,65+,  3-6 Months,1
28/01/2021,Dublin Midlands Hospital Group,1270,Tallaght University Hospital,2600,General Surgery,Inpatient,Adult,65+,  9-12 Months,1
28/01/2021,Ireland East Hospital Group,0101,St. Columcille's Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64,  0-3 Months,81
28/01/2021,Ireland East Hospital Group,0101,St. Columcille's Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64,  3-6 Months,32
28/01/2021,Ireland East Hospital Group,0101,St. Columcille's Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64,  6-9 Months,18
28/01/2021,Ireland East Hospital Group,0101,St. Columcille's Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64,  9-12 Months,40
28/01/2021,Ireland East Hospital Group,0101,St. Columcille's Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64, 12-15 Months,26
28/01/2021,Ireland East Hospital Group,0101,St. Columcille's Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64, 15-18 Months,3
28/01/2021,Ireland East Hospital Group,0101,St. Columcille's Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64,18+ Months,14
28/01/2021,Ireland East Hospital Group,0101,St. Columcille's Hospital,0700,Gastro-Enterology,Day Case,Adult,65+,  0-3 Months,37
28/01/2021,Ireland East Hospital Group,0101,St. Columcille's Hospital,0700,Gastro-Enterology,Day Case,Adult,65+,  3-6 Months,11
28/01/2021,Ireland East Hospital Group,0101,St. Columcille's Hospital,0700,Gastro-Enterology,Day Case,Adult,65+,  6-9 Months,11
28/01/2021,Ireland East Hospital Group,0101,St. Columcille's Hospital,0700,Gastro-Enterology,Day Case,Adult,65+,  9-12 Months,12
28/01/2021,Ireland East Hospital Group,0101,St. Columcille's Hospital,0700,Gastro-Enterology,Day Case,Adult,65+, 12-15 Months,12
28/01/2021,Ireland East Hospital Group,0101,St. Columcille's Hospital,0700,Gastro-Enterology,Day Case,Adult,65+, 15-18 Months,2
28/01/2021,Ireland East Hospital Group,0101,St. Columcille's Hospital,0700,Gastro-Enterology,Day Case,Adult,65+,18+ Months,7
28/01/2021,Ireland East Hospital Group,0101,St. Columcille's Hospital,2600,General Surgery,Day Case,Adult,16-64,  0-3 Months,30
28/01/2021,Ireland East Hospital Group,0101,St. Columcille's Hospital,2600,General Surgery,Day Case,Adult,16-64,  3-6 Months,26
28/01/2021,Ireland East Hospital Group,0101,St. Columcille's Hospital,2600,General Surgery,Day Case,Adult,16-64,  6-9 Months,32
28/01/2021,Ireland East Hospital Group,0101,St. Columcille's Hospital,2600,General Surgery,Day Case,Adult,16-64,  9-12 Months,13
28/01/2021,Ireland East Hospital Group,0101,St. Columcille's Hospital,2600,General Surgery,Day Case,Adult,16-64, 12-15 Months,8
28/01/2021,Ireland East Hospital Group,0101,St. Columcille's Hospital,2600,General Surgery,Day Case,Adult,16-64, 15-18 Months,1
28/01/2021,Ireland East Hospital Group,0101,St. Columcille's Hospital,2600,General Surgery,Day Case,Adult,16-64,18+ Months,1
28/01/2021,Ireland East Hospital Group,0101,St. Columcille's Hospital,2600,General Surgery,Day Case,Adult,65+,  0-3 Months,9
28/01/2021,Ireland East Hospital Group,0101,St. Columcille's Hospital,2600,General Surgery,Day Case,Adult,65+,  3-6 Months,6
28/01/2021,Ireland East Hospital Group,0101,St. Columcille's Hospital,2600,General Surgery,Day Case,Adult,65+,  6-9 Months,4
28/01/2021,Ireland East Hospital Group,0101,St. Columcille's Hospital,2600,General Surgery,Day Case,Adult,65+,  9-12 Months,4
28/01/2021,Ireland East Hospital Group,0101,St. Columcille's Hospital,2600,General Surgery,Day Case,Adult,65+, 12-15 Months,4
28/01/2021,Ireland East Hospital Group,0101,St. Columcille's Hospital,2600,General Surgery,Day Case,Adult,65+, 15-18 Months,1
28/01/2021,Ireland East Hospital Group,0101,St. Columcille's Hospital,2600,General Surgery,Day Case,Adult,65+,18+ Months,7
28/01/2021,Ireland East Hospital Group,0202,Midland Regional Hospital Mullingar,2600,General Surgery,Day Case,Adult,16-64,  0-3 Months,152
28/01/2021,Ireland East Hospital Group,0202,Midland Regional Hospital Mullingar,2600,General Surgery,Day Case,Adult,16-64,  3-6 Months,42
28/01/2021,Ireland East Hospital Group,0202,Midland Regional Hospital Mullingar,2600,General Surgery,Day Case,Adult,16-64,  6-9 Months,15
28/01/2021,Ireland East Hospital Group,0202,Midland Regional Hospital Mullingar,2600,General Surgery,Day Case,Adult,16-64,  9-12 Months,6
28/01/2021,Ireland East Hospital Group,0202,Midland Regional Hospital Mullingar,2600,General Surgery,Day Case,Adult,16-64,18+ Months,1
28/01/2021,Ireland East Hospital Group,0202,Midland Regional Hospital Mullingar,2600,General Surgery,Day Case,Adult,65+,  0-3 Months,95
28/01/2021,Ireland East Hospital Group,0202,Midland Regional Hospital Mullingar,2600,General Surgery,Day Case,Adult,65+,  3-6 Months,17
