Archive_Date,Hospital_Group,Hospital_HIPE,Hospital_Name,Specialty_HIPE,Specialty_Name,Case_Type,Adult_Child,Age_Profile,Time_Bands,Total
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Day Case,Child,0-15,  0-3 Months,139
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Day Case,Child,0-15,  3-6 Months,102
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Day Case,Child,0-15,  6-9 Months,40
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Day Case,Child,0-15,  9-12 Months,45
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Day Case,Child,0-15, 12-15 Months,49
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Day Case,Child,0-15, 15-18 Months,39
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Day Case,Child,0-15,18+ Months,16
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Day Case,Child,16-64,  0-3 Months,8
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Day Case,Child,16-64,  3-6 Months,4
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Day Case,Child,16-64,  6-9 Months,2
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Day Case,Child,16-64,  9-12 Months,3
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Day Case,Child,16-64, 12-15 Months,7
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Day Case,Child,16-64, 15-18 Months,7
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Day Case,Child,16-64,18+ Months,4
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Inpatient,Child,0-15,  0-3 Months,4
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Inpatient,Child,0-15,  9-12 Months,2
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Inpatient,Child,0-15, 12-15 Months,1
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Inpatient,Child,0-15, 15-18 Months,1
