ArchiveDate,Hospital_Name,Adult_Child,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
25/01/2024,Bantry General Hospital,Adult,172,38,2,0,211
25/01/2024,Beaumont Hospital,Adult,"1,413",20,2,2,"1,436"
25/01/2024,Cavan General Hospital,Adult,971,12,2,0,985
25/01/2024,Connolly Hospital Blanchardstown,Adult,856,0,0,0,856
25/01/2024,Cork University Hospital,Adult,500,44,4,0,547
25/01/2024,Ennis Hospital,Adult,526,20,0,0,546
25/01/2024,Galway University Hospitals,Adult,846,35,0,0,881
25/01/2024,Letterkenny University Hospital,Adult,722,5,0,0,727
25/01/2024,Louth County Hospital,Adult,913,0,0,0,913
25/01/2024,Mallow General Hospital,Adult,190,2,0,0,192
25/01/2024,Mater Misericordiae University Hospital,Adult,586,45,25,20,676
25/01/2024,Mayo University Hospital,Adult,497,96,4,0,596
25/01/2024,Mercy University Hospital,Adult,615,112,11,0,739
25/01/2024,Midland Regional Hospital Mullingar,Adult,892,173,0,0,"1,065"
25/01/2024,Midland Regional Hospital Portlaoise,Adult,499,87,53,49,687
25/01/2024,Midland Regional Hospital Tullamore,Adult,703,78,0,0,781
25/01/2024,Naas General Hospital,Adult,546,22,0,0,568
25/01/2024,Nenagh Hospital,Adult,233,0,0,0,233
25/01/2024,Our Lady of Lourdes Hospital Drogheda,Adult,216,0,0,0,216
25/01/2024,Our Lady's Hospital Navan,Adult,795,44,23,2,863
25/01/2024,Portiuncula University Hospital,Adult,303,15,0,0,317
25/01/2024,Roscommon University Hospital,Adult,249,0,0,0,249
25/01/2024,Sligo University Hospital,Adult,846,15,0,0,861
25/01/2024,South Infirmary Victoria University Hospital,Adult,259,0,0,0,259
25/01/2024,St. Columcille's Hospital,Adult,213,31,0,0,244
25/01/2024,St. James's Hospital,Adult,"1,173",749,63,27,"2,011"
25/01/2024,St. John's Hospital Limerick,Adult,427,55,0,0,482
25/01/2024,St. Luke's General Hospital Kilkenny,Adult,684,22,0,0,706
25/01/2024,St. Michael's Hospital,Adult,677,150,33,2,861
25/01/2024,St. Vincent's University Hospital,Adult,94,0,0,0,94
25/01/2024,Tallaght University Hospital,Adult,"1,280",515,10,2,"1,806"
25/01/2024,Tipperary University Hospital,Adult,499,49,0,0,548
25/01/2024,University Hospital Kerry,Adult,445,0,0,0,445
25/01/2024,University Hospital Limerick,Adult,449,23,0,0,472
25/01/2024,University Hospital Waterford,Adult,443,40,0,0,483
25/01/2024,Wexford General Hospital,Adult,138,4,0,0,142
25/01/2024,Children's Health Ireland,Child,298,164,66,29,557
25/01/2024,Small Volume Hospitals,Child,11,1,1,0,13
29/02/2024,Bantry General Hospital,Adult,164,12,0,0,175
29/02/2024,Beaumont Hospital,Adult,"1,723",25,0,2,"1,749"
29/02/2024,Cavan General Hospital,Adult,"1,006",24,0,0,"1,030"
29/02/2024,Connolly Hospital Blanchardstown,Adult,738,0,0,0,738
29/02/2024,Cork University Hospital,Adult,614,26,3,0,643
29/02/2024,Ennis Hospital,Adult,543,59,0,0,602
29/02/2024,Galway University Hospitals,Adult,895,18,2,0,914
29/02/2024,Letterkenny University Hospital,Adult,800,10,0,2,812
29/02/2024,Louth County Hospital,Adult,"1,163",8,0,0,"1,170"
29/02/2024,Mallow General Hospital,Adult,227,2,0,0,229
29/02/2024,Mater Misericordiae University Hospital,Adult,537,46,26,21,629
29/02/2024,Mayo University Hospital,Adult,445,149,9,0,603
29/02/2024,Mercy University Hospital,Adult,599,114,13,0,727
29/02/2024,Midland Regional Hospital Mullingar,Adult,879,178,8,0,"1,065"
29/02/2024,Midland Regional Hospital Portlaoise,Adult,438,100,52,56,646
29/02/2024,Midland Regional Hospital Tullamore,Adult,703,119,0,0,821
29/02/2024,Naas General Hospital,Adult,590,37,0,0,628
29/02/2024,Nenagh Hospital,Adult,231,0,0,0,231
29/02/2024,Our Lady of Lourdes Hospital Drogheda,Adult,156,2,0,0,158
29/02/2024,Our Lady's Hospital Navan,Adult,629,18,36,2,685
29/02/2024,Portiuncula University Hospital,Adult,290,22,0,0,311
29/02/2024,Roscommon University Hospital,Adult,250,2,0,0,252
29/02/2024,Sligo University Hospital,Adult,683,3,0,0,686
29/02/2024,South Infirmary Victoria University Hospital,Adult,285,0,0,0,285
29/02/2024,St. Columcille's Hospital,Adult,229,16,2,0,247
29/02/2024,St. James's Hospital,Adult,"1,089",658,58,30,"1,835"
29/02/2024,St. John's Hospital Limerick,Adult,525,60,0,0,585
29/02/2024,St. Luke's General Hospital Kilkenny,Adult,675,27,0,0,702
29/02/2024,St. Michael's Hospital,Adult,687,121,21,0,829
29/02/2024,St. Vincent's University Hospital,Adult,64,0,0,0,64
29/02/2024,Tallaght University Hospital,Adult,"1,213",347,16,2,"1,578"
29/02/2024,Tipperary University Hospital,Adult,504,38,0,0,542
29/02/2024,University Hospital Kerry,Adult,532,0,0,0,532
29/02/2024,University Hospital Limerick,Adult,460,38,2,0,499
29/02/2024,University Hospital Waterford,Adult,415,39,0,0,454
29/02/2024,Wexford General Hospital,Adult,164,0,2,0,165
29/02/2024,Children's Health Ireland,Child,263,129,48,40,481
29/02/2024,Small Volume Hospitals,Child,11,1,1,0,14
28/03/2024,Bantry General Hospital,Adult,153,14,0,0,167
28/03/2024,Beaumont Hospital,Adult,"2,014",15,0,2,"2,031"
28/03/2024,Cavan General Hospital,Adult,706,13,0,0,719
28/03/2024,Connolly Hospital Blanchardstown,Adult,555,0,0,0,555
28/03/2024,Cork University Hospital,Adult,596,23,2,2,623
28/03/2024,Ennis Hospital,Adult,565,98,0,0,663
28/03/2024,Galway University Hospitals,Adult,773,24,0,0,797
28/03/2024,Letterkenny University Hospital,Adult,876,6,2,0,884
28/03/2024,Louth County Hospital,Adult,743,3,0,0,746
28/03/2024,Mallow General Hospital,Adult,230,3,0,0,233
28/03/2024,Mater Misericordiae University Hospital,Adult,542,49,24,23,637
28/03/2024,Mayo University Hospital,Adult,460,133,12,0,605
28/03/2024,Mercy University Hospital,Adult,567,113,20,0,701
28/03/2024,Midland Regional Hospital Mullingar,Adult,863,204,12,2,"1,080"
28/03/2024,Midland Regional Hospital Portlaoise,Adult,405,111,57,68,640
28/03/2024,Midland Regional Hospital Tullamore,Adult,691,114,0,0,805
28/03/2024,Naas General Hospital,Adult,676,45,0,0,720
28/03/2024,Nenagh Hospital,Adult,280,0,0,0,280
28/03/2024,Our Lady of Lourdes Hospital Drogheda,Adult,96,0,0,0,96
28/03/2024,Our Lady's Hospital Navan,Adult,625,2,2,0,628
28/03/2024,Portiuncula University Hospital,Adult,340,27,2,0,369
28/03/2024,Roscommon University Hospital,Adult,379,5,0,0,384
28/03/2024,Sligo University Hospital,Adult,830,9,2,0,840
28/03/2024,South Infirmary Victoria University Hospital,Adult,323,13,0,0,336
28/03/2024,St. Columcille's Hospital,Adult,240,13,2,0,254
28/03/2024,St. James's Hospital,Adult,956,681,82,36,"1,754"
28/03/2024,St. John's Hospital Limerick,Adult,485,87,0,0,571
