ArchiveDate,Hospital_Name,Case_Type,Adult_Child,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
24/11/2022,Our Lady's Hospital Navan,Inpatient,Adult,195,49,4,2,250
24/11/2022,Portiuncula University Hospital,Inpatient,Adult,25,19,2,0,46
24/11/2022,Royal Victoria Eye and Ear Hospital,Inpatient,Adult,247,104,28,10,389
24/11/2022,Sligo University Hospital,Inpatient,Adult,562,178,109,166,"1,015"
24/11/2022,Small Volume Hospitals,Inpatient,Adult,11,6,2,2,21
24/11/2022,South Infirmary Victoria University Hospital,Inpatient,Adult,209,63,13,44,329
24/11/2022,St. James's Hospital,Inpatient,Adult,646,315,204,528,"1,693"
24/11/2022,St. John's Hospital Limerick,Inpatient,Adult,229,42,2,2,275
24/11/2022,St. Luke's General Hospital Kilkenny,Inpatient,Adult,17,19,4,0,40
24/11/2022,St. Michael's Hospital,Inpatient,Adult,624,142,23,10,799
24/11/2022,St. Vincent's University Hospital,Inpatient,Adult,599,152,83,175,"1,009"
24/11/2022,Tallaght University Hospital,Inpatient,Adult,582,234,85,133,"1,034"
24/11/2022,Tipperary University Hospital,Inpatient,Adult,38,4,0,0,42
24/11/2022,University Hospital Kerry,Inpatient,Adult,99,21,2,0,122
24/11/2022,University Hospital Limerick,Inpatient,Adult,178,66,19,2,265
24/11/2022,University Hospital Waterford,Inpatient,Adult,111,73,36,71,291
24/11/2022,Children's Health Ireland,Day Case,Child,"1,811",754,291,252,"3,108"
24/11/2022,Cork University Hospital,Day Case,Child,108,22,11,19,160
24/11/2022,Galway University Hospitals,Day Case,Child,162,73,42,56,333
24/11/2022,Letterkenny University Hospital,Day Case,Child,43,18,5,8,74
24/11/2022,Mercy University Hospital,Day Case,Child,30,15,2,0,47
24/11/2022,Midland Regional Hospital Tullamore,Day Case,Child,36,0,0,0,36
24/11/2022,National Orthopaedic Hospital Cappagh,Day Case,Child,26,8,2,0,37
24/11/2022,Our Lady of Lourdes Hospital Drogheda,Day Case,Child,41,10,0,0,51
24/11/2022,Portiuncula University Hospital,Day Case,Child,33,5,2,0,41
24/11/2022,Royal Victoria Eye and Ear Hospital,Day Case,Child,59,12,0,2,74
24/11/2022,Sligo University Hospital,Day Case,Child,60,14,8,0,82
24/11/2022,Small Volume Hospitals,Day Case,Child,100,14,5,2,122
24/11/2022,South Infirmary Victoria University Hospital,Day Case,Child,118,25,2,2,148
24/11/2022,University Hospital Limerick,Day Case,Child,114,19,12,2,148
24/11/2022,University Hospital Waterford,Day Case,Child,56,27,5,7,95
24/11/2022,Beaumont Hospital,Inpatient,Child,24,4,2,5,35
24/11/2022,Children's Health Ireland,Inpatient,Child,"1,084",573,357,608,"2,622"
24/11/2022,Galway University Hospitals,Inpatient,Child,53,14,9,17,93
24/11/2022,Midland Regional Hospital Mullingar,Inpatient,Child,28,4,2,0,34
24/11/2022,Midland Regional Hospital Tullamore,Inpatient,Child,98,16,0,0,114
24/11/2022,National Orthopaedic Hospital Cappagh,Inpatient,Child,149,81,17,16,263
24/11/2022,Our Lady of Lourdes Hospital Drogheda,Inpatient,Child,7,14,0,0,21
24/11/2022,Royal Victoria Eye and Ear Hospital,Inpatient,Child,29,15,0,0,44
24/11/2022,Sligo University Hospital,Inpatient,Child,122,32,4,15,173
24/11/2022,Small Volume Hospitals,Inpatient,Child,26,8,6,2,41
24/11/2022,South Infirmary Victoria University Hospital,Inpatient,Child,44,5,2,0,51
24/11/2022,University Hospital Kerry,Inpatient,Child,22,2,0,0,24
24/11/2022,University Hospital Waterford,Inpatient,Child,64,8,0,2,74
22/12/2022,Bantry General Hospital,Day Case,Adult,89,31,23,2,145
22/12/2022,Beaumont Hospital,Day Case,Adult,"2,949",827,19,0,"3,795"
22/12/2022,Cavan General Hospital,Day Case,Adult,275,0,0,0,275
22/12/2022,Connolly Hospital Blanchardstown,Day Case,Adult,"1,080",171,0,0,"1,251"
22/12/2022,Coombe Women and Infants University Hospital,Day Case,Adult,103,24,5,5,137
22/12/2022,Cork University Hospital,Day Case,Adult,529,168,84,136,917
22/12/2022,Cork University Maternity Hospital,Day Case,Adult,295,55,9,19,378
22/12/2022,Croom Orthopaedic Hospital,Day Case,Adult,61,0,0,0,61
22/12/2022,Ennis Hospital,Day Case,Adult,263,19,0,0,282
22/12/2022,Galway University Hospitals,Day Case,Adult,"3,940","1,589",527,"1,022","7,078"
22/12/2022,Kilcreene Regional Orthopaedic Hospital,Day Case,Adult,205,29,2,0,236
22/12/2022,Letterkenny University Hospital,Day Case,Adult,"1,139",196,158,196,"1,689"
22/12/2022,Louth County Hospital,Day Case,Adult,388,2,0,0,390
22/12/2022,Mallow General Hospital,Day Case,Adult,177,14,2,0,193
22/12/2022,Mater Misericordiae University Hospital,Day Case,Adult,"2,654",553,335,526,"4,068"
22/12/2022,Mayo University Hospital,Day Case,Adult,500,90,16,38,644
22/12/2022,Mercy University Hospital,Day Case,Adult,405,142,62,23,632
22/12/2022,Midland Regional Hospital Mullingar,Day Case,Adult,411,124,52,13,600
22/12/2022,Midland Regional Hospital Portlaoise,Day Case,Adult,156,77,19,43,295
22/12/2022,Midland Regional Hospital Tullamore,Day Case,Adult,486,128,17,13,644
22/12/2022,Naas General Hospital,Day Case,Adult,190,53,2,2,248
22/12/2022,National Orthopaedic Hospital Cappagh,Day Case,Adult,468,43,5,2,518
22/12/2022,Nenagh Hospital,Day Case,Adult,460,2,0,0,462
22/12/2022,Our Lady of Lourdes Hospital Drogheda,Day Case,Adult,305,89,0,0,394
22/12/2022,Our Lady's Hospital Navan,Day Case,Adult,704,42,0,0,746
22/12/2022,Portiuncula University Hospital,Day Case,Adult,472,125,17,2,616
