ArchiveDate,HospitalName,Adult_Child,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
29/07/2021,Bantry General Hospital,Adult,188,124,9,2,323
29/07/2021,Beaumont Hospital,Adult,476,5,2,0,483
29/07/2021,Cavan General Hospital,Adult,666,0,0,0,666
29/07/2021,Connolly Hospital Blanchardstown,Adult,879,2,0,0,881
29/07/2021,Cork University Hospital,Adult,552,134,44,5,735
29/07/2021,Ennis Hospital,Adult,534,204,175,99,"1,012"
29/07/2021,Galway University Hospitals,Adult,867,429,152,77,"1,524"
29/07/2021,Letterkenny University Hospital,Adult,"1,321",530,427,779,"3,057"
29/07/2021,Louth County Hospital,Adult,821,3,0,0,824
29/07/2021,Mallow General Hospital,Adult,124,53,2,0,179
29/07/2021,Mater Misericordiae University Hospital,Adult,974,837,360,198,"2,369"
29/07/2021,Mayo University Hospital,Adult,313,226,163,246,947
29/07/2021,Mercy University Hospital,Adult,289,67,49,68,473
29/07/2021,Midland Regional Hospital Mullingar,Adult,436,34,0,2,472
29/07/2021,Midland Regional Hospital Portlaoise,Adult,253,177,61,76,566
29/07/2021,Midland Regional Hospital Tullamore,Adult,312,80,11,0,403
29/07/2021,Naas General Hospital,Adult,553,352,101,110,"1,116"
29/07/2021,Nenagh Hospital,Adult,378,376,188,129,"1,071"
29/07/2021,Our Lady of Lourdes Hospital Drogheda,Adult,211,0,0,0,211
29/07/2021,Our Lady's Hospital Navan,Adult,670,473,361,42,"1,545"
29/07/2021,Portiuncula University Hospital,Adult,202,112,37,11,362
29/07/2021,Roscommon University Hospital,Adult,528,376,77,0,981
29/07/2021,Sligo University Hospital,Adult,675,114,29,0,818
29/07/2021,South Infirmary Victoria University Hospital,Adult,352,31,2,0,384
29/07/2021,St. Columcille's Hospital,Adult,179,87,30,38,334
29/07/2021,St. James's Hospital,Adult,"1,047",319,166,79,"1,612"
29/07/2021,St. John's Hospital Limerick,Adult,569,356,197,196,"1,318"
29/07/2021,St. Luke's General Hospital Kilkenny,Adult,795,376,70,2,"1,242"
29/07/2021,St. Michael's Hospital,Adult,275,16,2,6,298
29/07/2021,St. Vincent's University Hospital,Adult,70,2,0,0,72
29/07/2021,Tallaght University Hospital,Adult,"1,494",922,373,365,"3,153"
29/07/2021,Tipperary University Hospital,Adult,413,23,2,0,438
29/07/2021,University Hospital Kerry,Adult,516,2,0,0,517
29/07/2021,University Hospital Limerick,Adult,531,234,220,463,"1,448"
29/07/2021,University Hospital Waterford,Adult,301,165,14,44,524
29/07/2021,Wexford General Hospital,Adult,555,434,127,46,"1,163"
29/07/2021,Children's Health Ireland,Child,293,120,57,90,560
29/07/2021,Small Volume Hospitals,Child,31,8,3,3,45
26/08/2021,Bantry General Hospital,Adult,159,130,7,2,298
26/08/2021,Beaumont Hospital,Adult,631,7,2,0,640
26/08/2021,Cavan General Hospital,Adult,689,2,0,0,691
26/08/2021,Connolly Hospital Blanchardstown,Adult,807,26,0,0,833
26/08/2021,Cork University Hospital,Adult,562,167,68,11,807
26/08/2021,Ennis Hospital,Adult,395,135,154,101,785
26/08/2021,Galway University Hospitals,Adult,891,404,140,83,"1,518"
26/08/2021,Letterkenny University Hospital,Adult,"1,350",523,405,778,"3,056"
26/08/2021,Louth County Hospital,Adult,782,2,0,0,784
26/08/2021,Mallow General Hospital,Adult,131,51,2,0,183
26/08/2021,Mater Misericordiae University Hospital,Adult,883,821,283,215,"2,202"
26/08/2021,Mayo University Hospital,Adult,398,222,150,253,"1,023"
26/08/2021,Mercy University Hospital,Adult,278,52,44,42,416
26/08/2021,Midland Regional Hospital Mullingar,Adult,429,28,0,0,457
26/08/2021,Midland Regional Hospital Portlaoise,Adult,232,65,37,73,407
26/08/2021,Midland Regional Hospital Tullamore,Adult,313,81,9,0,402
26/08/2021,Naas General Hospital,Adult,607,176,59,93,935
26/08/2021,Nenagh Hospital,Adult,378,366,175,135,"1,054"
26/08/2021,Our Lady of Lourdes Hospital Drogheda,Adult,173,2,0,0,174
26/08/2021,Our Lady's Hospital Navan,Adult,608,302,0,0,910
26/08/2021,Portiuncula University Hospital,Adult,217,81,30,14,342
26/08/2021,Roscommon University Hospital,Adult,511,409,113,2,"1,034"
26/08/2021,Sligo University Hospital,Adult,689,89,26,2,805
26/08/2021,South Infirmary Victoria University Hospital,Adult,354,43,0,0,397
26/08/2021,St. Columcille's Hospital,Adult,180,75,16,39,310
26/08/2021,St. James's Hospital,Adult,969,252,131,134,"1,485"
26/08/2021,St. John's Hospital Limerick,Adult,580,326,179,210,"1,294"
26/08/2021,St. Luke's General Hospital Kilkenny,Adult,826,401,89,2,"1,317"
26/08/2021,St. Michael's Hospital,Adult,344,20,0,6,370
26/08/2021,St. Vincent's University Hospital,Adult,166,0,0,0,166
26/08/2021,Tallaght University Hospital,Adult,"1,391",937,303,277,"2,908"
26/08/2021,Tipperary University Hospital,Adult,381,12,2,0,394
26/08/2021,University Hospital Kerry,Adult,501,2,0,0,503
26/08/2021,University Hospital Limerick,Adult,478,276,156,490,"1,400"
26/08/2021,University Hospital Waterford,Adult,319,190,11,35,555
26/08/2021,Wexford General Hospital,Adult,577,443,145,56,"1,220"
26/08/2021,Children's Health Ireland,Child,302,109,38,76,524
26/08/2021,Small Volume Hospitals,Child,26,8,1,4,39
30/09/2021,Bantry General Hospital,Adult,174,87,7,2,270
30/09/2021,Beaumont Hospital,Adult,914,5,3,0,923
30/09/2021,Cavan General Hospital,Adult,531,0,0,0,531
30/09/2021,Connolly Hospital Blanchardstown,Adult,913,3,0,0,916
30/09/2021,Cork University Hospital,Adult,492,193,75,16,775
30/09/2021,Ennis Hospital,Adult,518,125,136,148,927
30/09/2021,Galway University Hospitals,Adult,973,443,162,99,"1,677"
30/09/2021,Letterkenny University Hospital,Adult,"1,311",497,384,790,"2,982"
30/09/2021,Louth County Hospital,Adult,849,11,0,0,860
30/09/2021,Mallow General Hospital,Adult,131,59,6,0,195
30/09/2021,Mater Misericordiae University Hospital,Adult,882,816,235,244,"2,177"
30/09/2021,Mayo University Hospital,Adult,277,215,153,251,896
30/09/2021,Mercy University Hospital,Adult,300,35,13,40,388
30/09/2021,Midland Regional Hospital Mullingar,Adult,453,25,0,0,478
30/09/2021,Midland Regional Hospital Portlaoise,Adult,247,55,32,80,414
30/09/2021,Midland Regional Hospital Tullamore,Adult,391,78,10,0,478
30/09/2021,Naas General Hospital,Adult,467,116,25,58,666
30/09/2021,Nenagh Hospital,Adult,339,354,193,142,"1,027"
30/09/2021,Our Lady of Lourdes Hospital Drogheda,Adult,241,3,0,0,244
30/09/2021,Our Lady's Hospital Navan,Adult,509,366,2,0,876
30/09/2021,Portiuncula University Hospital,Adult,223,70,28,17,338
30/09/2021,Roscommon University Hospital,Adult,450,368,101,3,922
30/09/2021,Sligo University Hospital,Adult,716,85,8,2,810
30/09/2021,South Infirmary Victoria University Hospital,Adult,227,44,0,0,271
30/09/2021,St. Columcille's Hospital,Adult,144,96,13,42,295
30/09/2021,St. James's Hospital,Adult,"1,109",285,108,148,"1,650"
30/09/2021,St. John's Hospital Limerick,Adult,630,285,143,210,"1,268"
30/09/2021,St. Luke's General Hospital Kilkenny,Adult,679,278,67,2,"1,025"
30/09/2021,St. Michael's Hospital,Adult,300,25,2,6,332
30/09/2021,St. Vincent's University Hospital,Adult,120,0,0,0,120
30/09/2021,Tallaght University Hospital,Adult,"1,282",915,246,275,"2,718"
30/09/2021,Tipperary University Hospital,Adult,405,14,2,0,420
30/09/2021,University Hospital Kerry,Adult,447,0,0,0,447
30/09/2021,University Hospital Limerick,Adult,436,261,145,493,"1,335"
30/09/2021,University Hospital Waterford,Adult,356,177,44,32,609
30/09/2021,Wexford General Hospital,Adult,572,385,165,71,"1,193"
30/09/2021,Children's Health Ireland,Child,297,110,40,59,506
30/09/2021,Small Volume Hospitals,Child,27,8,5,5,44
28/10/2021,Bantry General Hospital,Adult,197,86,5,2,290
28/10/2021,Beaumont Hospital,Adult,698,2,0,0,700
28/10/2021,Cavan General Hospital,Adult,465,2,0,0,467
28/10/2021,Connolly Hospital Blanchardstown,Adult,738,2,0,0,740
28/10/2021,Cork University Hospital,Adult,484,218,71,13,787
28/10/2021,Ennis Hospital,Adult,509,123,88,146,866
28/10/2021,Galway University Hospitals,Adult,"1,024",455,166,73,"1,718"
28/10/2021,Letterkenny University Hospital,Adult,"1,313",523,397,805,"3,038"
28/10/2021,Louth County Hospital,Adult,902,2,0,0,904
28/10/2021,Mallow General Hospital,Adult,83,27,0,2,113
28/10/2021,Mater Misericordiae University Hospital,Adult,872,768,320,163,"2,123"
28/10/2021,Mayo University Hospital,Adult,366,239,131,275,"1,010"
28/10/2021,Mercy University Hospital,Adult,330,35,13,20,398
28/10/2021,Midland Regional Hospital Mullingar,Adult,521,31,0,0,553
28/10/2021,Midland Regional Hospital Portlaoise,Adult,289,75,35,86,485
28/10/2021,Midland Regional Hospital Tullamore,Adult,360,77,6,2,444
28/10/2021,Naas General Hospital,Adult,438,34,21,54,548
