ArchiveDate,Hospital_Name,Adult_Child,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
26/03/2026,Cavan General Hospital,Adult,679,2,0,0,681
26/03/2026,Connolly Hospital Blanchardstown,Adult,"1,193",36,0,0,"1,229"
26/03/2026,Cork University Hospital,Adult,"1,228",219,0,0,"1,447"
26/03/2026,Ennis Hospital,Adult,900,686,215,0,"1,801"
26/03/2026,Galway University Hospitals,Adult,"2,008",737,95,23,"2,862"
26/03/2026,Letterkenny University Hospital,Adult,"1,364",390,68,34,"1,856"
26/03/2026,Louth County Hospital,Adult,"1,473",221,0,0,"1,694"
26/03/2026,Mallow General Hospital,Adult,325,34,0,0,358
26/03/2026,Mater Misericordiae University Hospital,Adult,"1,393",263,34,20,"1,710"
26/03/2026,Mayo University Hospital,Adult,560,118,8,18,703
26/03/2026,Mercy University Hospital,Adult,885,126,0,0,"1,011"
26/03/2026,Midland Regional Hospital Mullingar,Adult,818,24,4,0,845
26/03/2026,Midland Regional Hospital Portlaoise,Adult,340,67,34,53,493
26/03/2026,Midland Regional Hospital Tullamore,Adult,893,320,157,55,"1,424"
26/03/2026,Naas General Hospital,Adult,"1,499",134,2,2,"1,636"
26/03/2026,Nenagh Hospital,Adult,374,47,0,0,421
26/03/2026,Our Lady's Hospital Navan,Adult,637,14,0,2,653
26/03/2026,Portiuncula University Hospital,Adult,236,0,0,0,236
26/03/2026,Roscommon University Hospital,Adult,332,22,0,0,354
26/03/2026,Sligo University Hospital,Adult,"1,052",88,14,2,"1,155"
26/03/2026,Small Volume Hospitals,Adult,2,0,0,0,2
26/03/2026,South Infirmary Victoria University Hospital,Adult,305,0,0,0,305
26/03/2026,St. Columcille's Hospital,Adult,442,262,12,2,718
26/03/2026,St. James's Hospital,Adult,762,242,36,4,"1,043"
26/03/2026,St. John's Hospital Limerick,Adult,440,177,8,0,625
26/03/2026,St. Luke's General Hospital Kilkenny,Adult,644,158,60,33,894
26/03/2026,St. Michael's Hospital,Adult,276,7,0,2,285
26/03/2026,St. Vincent's University Hospital,Adult,535,0,0,0,535
26/03/2026,Tallaght University Hospital,Adult,"1,827",577,4,0,"2,407"
26/03/2026,Tipperary University Hospital,Adult,742,148,7,0,896
26/03/2026,University Hospital Kerry,Adult,736,153,0,0,889
26/03/2026,University Hospital Limerick,Adult,739,476,76,0,"1,291"
26/03/2026,University Hospital Waterford,Adult,780,94,5,2,881
26/03/2026,Wexford General Hospital,Adult,"1,024",259,51,0,"1,334"
26/03/2026,Children's Health Ireland,Child,327,78,15,0,421
26/03/2026,Small Volume Hospitals,Child,21,7,0,0,28
