ArchiveDate,Hospital_Name,Case_Type,Adult_Child,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
26/01/2023,Bantry General Hospital,Day Case,Adult,59,41,21,5,126
26/01/2023,Beaumont Hospital,Day Case,Adult,"2,794",940,120,6,"3,860"
26/01/2023,Cavan General Hospital,Day Case,Adult,403,11,0,0,414
26/01/2023,Connolly Hospital Blanchardstown,Day Case,Adult,933,115,6,0,"1,054"
26/01/2023,Coombe Women and Infants University Hospital,Day Case,Adult,111,30,4,2,147
26/01/2023,Cork University Hospital,Day Case,Adult,558,161,79,149,947
26/01/2023,Cork University Maternity Hospital,Day Case,Adult,253,65,11,17,346
26/01/2023,Croom Orthopaedic Hospital,Day Case,Adult,87,0,0,0,87
26/01/2023,Ennis Hospital,Day Case,Adult,314,31,4,2,351
26/01/2023,Galway University Hospitals,Day Case,Adult,"3,727","1,841",541,"1,054","7,163"
26/01/2023,Kilcreene Regional Orthopaedic Hospital,Day Case,Adult,203,16,2,0,221
26/01/2023,Letterkenny University Hospital,Day Case,Adult,"1,243",233,135,207,"1,818"
26/01/2023,Louth County Hospital,Day Case,Adult,392,8,2,0,402
26/01/2023,Mallow General Hospital,Day Case,Adult,205,20,4,0,229
26/01/2023,Mater Misericordiae University Hospital,Day Case,Adult,"2,619",661,314,535,"4,129"
26/01/2023,Mayo University Hospital,Day Case,Adult,363,72,22,33,490
26/01/2023,Mercy University Hospital,Day Case,Adult,394,128,54,33,609
26/01/2023,Midland Regional Hospital Mullingar,Day Case,Adult,434,146,65,27,672
26/01/2023,Midland Regional Hospital Portlaoise,Day Case,Adult,161,84,18,28,291
26/01/2023,Midland Regional Hospital Tullamore,Day Case,Adult,538,165,18,15,736
26/01/2023,Naas General Hospital,Day Case,Adult,157,75,2,2,236
26/01/2023,National Orthopaedic Hospital Cappagh,Day Case,Adult,457,49,2,2,510
26/01/2023,Nenagh Hospital,Day Case,Adult,617,25,0,0,642
26/01/2023,Our Lady of Lourdes Hospital Drogheda,Day Case,Adult,311,65,0,0,376
26/01/2023,Our Lady's Hospital Navan,Day Case,Adult,721,57,7,0,785
26/01/2023,Portiuncula University Hospital,Day Case,Adult,425,126,43,2,596
26/01/2023,Roscommon University Hospital,Day Case,Adult,463,159,55,65,742
26/01/2023,Royal Victoria Eye and Ear Hospital,Day Case,Adult,"1,678",512,45,29,"2,264"
26/01/2023,Sligo University Hospital,Day Case,Adult,"1,483",629,187,162,"2,461"
26/01/2023,South Infirmary Victoria University Hospital,Day Case,Adult,"2,049",844,258,234,"3,385"
26/01/2023,St. Columcille's Hospital,Day Case,Adult,395,133,16,52,596
26/01/2023,St. James's Hospital,Day Case,Adult,"2,461",859,309,568,"4,197"
26/01/2023,St. John's Hospital Limerick,Day Case,Adult,377,62,0,0,439
26/01/2023,St. Luke's General Hospital Kilkenny,Day Case,Adult,499,190,61,39,789
26/01/2023,St. Michael's Hospital,Day Case,Adult,174,33,2,0,209
26/01/2023,St. Vincent's University Hospital,Day Case,Adult,"1,953",433,121,236,"2,743"
26/01/2023,Tallaght University Hospital,Day Case,Adult,"1,410",120,29,12,"1,571"
26/01/2023,Tipperary University Hospital,Day Case,Adult,218,31,2,0,251
26/01/2023,University Hospital Kerry,Day Case,Adult,158,32,2,0,192
26/01/2023,University Hospital Limerick,Day Case,Adult,"1,500",620,15,0,"2,135"
26/01/2023,University Hospital Waterford,Day Case,Adult,"3,043",985,407,821,"5,256"
26/01/2023,Wexford General Hospital,Day Case,Adult,520,206,130,34,890
26/01/2023,Beaumont Hospital,Inpatient,Adult,"1,200",570,113,26,"1,909"
26/01/2023,Connolly Hospital Blanchardstown,Inpatient,Adult,139,16,2,0,157
26/01/2023,Coombe Women and Infants University Hospital,Inpatient,Adult,27,11,4,0,41
26/01/2023,Cork University Hospital,Inpatient,Adult,266,119,64,102,551
26/01/2023,Cork University Maternity Hospital,Inpatient,Adult,129,22,7,17,175
26/01/2023,Croom Orthopaedic Hospital,Inpatient,Adult,155,2,0,0,157
26/01/2023,Galway University Hospitals,Inpatient,Adult,905,566,257,863,"2,591"
26/01/2023,Kilcreene Regional Orthopaedic Hospital,Inpatient,Adult,280,33,2,0,315
26/01/2023,Letterkenny University Hospital,Inpatient,Adult,251,102,65,136,554
26/01/2023,Mater Misericordiae University Hospital,Inpatient,Adult,885,320,210,407,"1,822"
26/01/2023,Mayo University Hospital,Inpatient,Adult,159,56,17,57,289
26/01/2023,Mercy University Hospital,Inpatient,Adult,85,33,22,16,156
26/01/2023,Midland Regional Hospital Portlaoise,Inpatient,Adult,21,4,4,2,30
26/01/2023,Midland Regional Hospital Tullamore,Inpatient,Adult,414,209,31,67,721
26/01/2023,National Orthopaedic Hospital Cappagh,Inpatient,Adult,"1,021",331,54,20,"1,426"
26/01/2023,Our Lady of Lourdes Hospital Drogheda,Inpatient,Adult,221,69,0,0,290
26/01/2023,Our Lady's Hospital Navan,Inpatient,Adult,179,34,2,0,215
26/01/2023,Portiuncula University Hospital,Inpatient,Adult,19,18,6,0,43
26/01/2023,Royal Victoria Eye and Ear Hospital,Inpatient,Adult,241,118,30,13,402
26/01/2023,Sligo University Hospital,Inpatient,Adult,384,214,115,172,885
26/01/2023,Small Volume Hospitals,Inpatient,Adult,14,5,2,2,23
26/01/2023,South Infirmary Victoria University Hospital,Inpatient,Adult,165,58,22,42,287
26/01/2023,St. James's Hospital,Inpatient,Adult,688,333,213,555,"1,789"
26/01/2023,St. John's Hospital Limerick,Inpatient,Adult,322,47,0,0,369
26/01/2023,St. Luke's General Hospital Kilkenny,Inpatient,Adult,31,26,4,2,62
26/01/2023,St. Michael's Hospital,Inpatient,Adult,832,189,28,8,"1,057"
26/01/2023,St. Vincent's University Hospital,Inpatient,Adult,611,189,85,185,"1,070"
26/01/2023,Tallaght University Hospital,Inpatient,Adult,621,242,91,123,"1,077"
26/01/2023,Tipperary University Hospital,Inpatient,Adult,41,7,2,0,50
26/01/2023,University Hospital Kerry,Inpatient,Adult,98,22,0,0,120
26/01/2023,University Hospital Limerick,Inpatient,Adult,298,137,4,2,440
26/01/2023,University Hospital Waterford,Inpatient,Adult,107,76,46,74,303
26/01/2023,Children's Health Ireland,Day Case,Child,"2,035",833,363,248,"3,479"
26/01/2023,Cork University Hospital,Day Case,Child,91,24,8,16,139
26/01/2023,Ennis Hospital,Day Case,Child,31,0,0,0,31
26/01/2023,Galway University Hospitals,Day Case,Child,166,76,33,57,332
26/01/2023,Letterkenny University Hospital,Day Case,Child,35,20,4,11,70
26/01/2023,Mercy University Hospital,Day Case,Child,58,12,5,0,75
26/01/2023,Midland Regional Hospital Tullamore,Day Case,Child,47,2,0,0,49
26/01/2023,National Orthopaedic Hospital Cappagh,Day Case,Child,28,15,2,0,45
26/01/2023,Nenagh Hospital,Day Case,Child,25,2,0,0,27
26/01/2023,Our Lady of Lourdes Hospital Drogheda,Day Case,Child,43,4,2,0,49
