ArchiveDate,Hospital_Name,Adult_Child,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
27/01/2022,Bantry General Hospital,Adult,203,90,21,3,316
27/01/2022,Beaumont Hospital,Adult,935,2,0,0,936
27/01/2022,Cavan General Hospital,Adult,592,0,0,0,592
27/01/2022,Connolly Hospital Blanchardstown,Adult,719,2,2,0,722
27/01/2022,Cork University Hospital,Adult,568,219,51,22,859
27/01/2022,Ennis Hospital,Adult,415,76,37,69,596
27/01/2022,Galway University Hospitals,Adult,"1,302",262,81,53,"1,697"
27/01/2022,Letterkenny University Hospital,Adult,688,485,234,579,"1,986"
27/01/2022,Louth County Hospital,Adult,750,2,0,0,752
27/01/2022,Mallow General Hospital,Adult,95,3,0,0,98
27/01/2022,Mater Misericordiae University Hospital,Adult,779,699,421,50,"1,948"
27/01/2022,Mayo University Hospital,Adult,340,212,150,236,937
27/01/2022,Mercy University Hospital,Adult,381,19,5,6,411
27/01/2022,Midland Regional Hospital Mullingar,Adult,524,53,3,0,580
27/01/2022,Midland Regional Hospital Portlaoise,Adult,297,56,42,79,474
27/01/2022,Midland Regional Hospital Tullamore,Adult,497,102,11,0,610
27/01/2022,Naas General Hospital,Adult,395,34,154,90,672
27/01/2022,Nenagh Hospital,Adult,316,252,102,81,751
27/01/2022,Our Lady of Lourdes Hospital Drogheda,Adult,195,2,2,0,198
27/01/2022,Our Lady's Hospital Navan,Adult,326,2,0,0,327
27/01/2022,Portiuncula University Hospital,Adult,221,42,18,10,290
27/01/2022,Roscommon University Hospital,Adult,543,61,26,5,634
27/01/2022,Sligo University Hospital,Adult,637,78,0,2,716
27/01/2022,South Infirmary Victoria University Hospital,Adult,401,28,2,0,430
27/01/2022,St. Columcille's Hospital,Adult,236,51,10,44,340
27/01/2022,St. James's Hospital,Adult,"1,289",331,36,12,"1,668"
27/01/2022,St. John's Hospital Limerick,Adult,539,219,162,216,"1,136"
27/01/2022,St. Luke's General Hospital Kilkenny,Adult,707,119,33,19,877
27/01/2022,St. Michael's Hospital,Adult,484,14,3,2,502
27/01/2022,St. Vincent's University Hospital,Adult,139,0,0,0,139
27/01/2022,Tallaght University Hospital,Adult,"1,391",728,180,108,"2,406"
27/01/2022,Tipperary University Hospital,Adult,338,3,0,0,341
27/01/2022,University Hospital Kerry,Adult,435,2,0,0,436
27/01/2022,University Hospital Limerick,Adult,447,160,95,339,"1,041"
27/01/2022,University Hospital Waterford,Adult,310,103,27,39,479
27/01/2022,Wexford General Hospital,Adult,474,339,147,107,"1,066"
27/01/2022,Children's Health Ireland,Child,274,110,34,45,463
27/01/2022,Small Volume Hospitals,Child,28,8,1,4,41
24/02/2022,Bantry General Hospital,Adult,225,76,28,3,332
24/02/2022,Beaumont Hospital,Adult,"1,162",10,2,0,"1,173"
24/02/2022,Cavan General Hospital,Adult,522,0,0,0,522
24/02/2022,Connolly Hospital Blanchardstown,Adult,922,3,2,0,927
24/02/2022,Cork University Hospital,Adult,623,196,33,27,879
24/02/2022,Ennis Hospital,Adult,420,55,35,35,545
24/02/2022,Galway University Hospitals,Adult,"1,474",311,76,60,"1,920"
24/02/2022,Letterkenny University Hospital,Adult,679,456,214,554,"1,902"
24/02/2022,Louth County Hospital,Adult,657,2,0,0,659
24/02/2022,Mallow General Hospital,Adult,87,2,0,0,88
24/02/2022,Mater Misericordiae University Hospital,Adult,782,668,451,37,"1,937"
24/02/2022,Mayo University Hospital,Adult,351,231,164,260,"1,006"
24/02/2022,Mercy University Hospital,Adult,410,31,3,7,450
24/02/2022,Midland Regional Hospital Mullingar,Adult,569,71,3,0,644
24/02/2022,Midland Regional Hospital Portlaoise,Adult,239,134,59,78,510
24/02/2022,Midland Regional Hospital Tullamore,Adult,478,91,14,0,582
24/02/2022,Naas General Hospital,Adult,472,12,0,2,486
24/02/2022,Nenagh Hospital,Adult,265,262,121,78,726
24/02/2022,Our Lady of Lourdes Hospital Drogheda,Adult,181,0,0,0,181
24/02/2022,Our Lady's Hospital Navan,Adult,272,2,0,0,274
24/02/2022,Portiuncula University Hospital,Adult,225,42,21,6,293
24/02/2022,Roscommon University Hospital,Adult,419,36,8,11,474
24/02/2022,Sligo University Hospital,Adult,648,89,0,3,740
24/02/2022,South Infirmary Victoria University Hospital,Adult,433,18,2,0,452
24/02/2022,St. Columcille's Hospital,Adult,234,61,7,39,341
24/02/2022,St. James's Hospital,Adult,784,168,37,9,998
24/02/2022,St. John's Hospital Limerick,Adult,579,202,146,222,"1,149"
24/02/2022,St. Luke's General Hospital Kilkenny,Adult,737,115,25,3,880
24/02/2022,St. Michael's Hospital,Adult,432,52,2,2,487
24/02/2022,St. Vincent's University Hospital,Adult,160,0,0,0,160
24/02/2022,Tallaght University Hospital,Adult,"1,354",662,167,120,"2,303"
24/02/2022,Tipperary University Hospital,Adult,428,3,0,0,432
24/02/2022,University Hospital Kerry,Adult,459,2,0,0,461
24/02/2022,University Hospital Limerick,Adult,502,131,76,272,981
24/02/2022,University Hospital Waterford,Adult,354,72,23,42,491
24/02/2022,Wexford General Hospital,Adult,411,317,111,94,932
24/02/2022,Children's Health Ireland,Child,270,123,34,44,470
24/02/2022,Small Volume Hospitals,Child,26,12,0,3,41
31/03/2022,Bantry General Hospital,Adult,266,84,23,3,376
31/03/2022,Beaumont Hospital,Adult,"1,357",0,0,0,"1,357"
31/03/2022,Cavan General Hospital,Adult,637,0,0,0,637
31/03/2022,Connolly Hospital Blanchardstown,Adult,890,8,0,0,898
31/03/2022,Cork University Hospital,Adult,581,185,39,30,835
31/03/2022,Ennis Hospital,Adult,351,83,29,21,483
31/03/2022,Galway University Hospitals,Adult,"1,393",399,93,68,"1,953"
31/03/2022,Letterkenny University Hospital,Adult,710,447,197,588,"1,942"
31/03/2022,Louth County Hospital,Adult,876,7,0,0,883
