ArchiveDate,Hospital_Name,Case_Type,Adult_Child,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
28/11/2024,Midland Regional Hospital Portlaoise,Inpatient,Adult,12,4,0,5,21
28/11/2024,Midland Regional Hospital Tullamore,Inpatient,Adult,355,127,0,0,482
28/11/2024,National Orthopaedic Hospital Cappagh,Inpatient,Adult,"1,216",290,47,2,"1,555"
28/11/2024,Our Lady of Lourdes Hospital Drogheda,Inpatient,Adult,208,77,27,2,314
28/11/2024,Our Lady's Hospital Navan,Inpatient,Adult,150,0,0,0,150
28/11/2024,Portiuncula University Hospital,Inpatient,Adult,19,19,4,0,41
28/11/2024,Royal Victoria Eye and Ear Hospital,Inpatient,Adult,190,160,99,52,501
28/11/2024,Sligo University Hospital,Inpatient,Adult,361,110,41,39,551
28/11/2024,Small Volume Hospitals,Inpatient,Adult,16,17,7,7,48
28/11/2024,South Infirmary Victoria University Hospital,Inpatient,Adult,157,80,56,56,349
28/11/2024,St. James's Hospital,Inpatient,Adult,954,421,179,262,"1,816"
28/11/2024,St. John's Hospital Limerick,Inpatient,Adult,309,89,7,0,405
28/11/2024,St. Michael's Hospital,Inpatient,Adult,178,88,12,12,290
28/11/2024,St. Vincent's University Hospital,Inpatient,Adult,694,165,90,159,"1,108"
28/11/2024,Tallaght University Hospital,Inpatient,Adult,931,456,167,148,"1,702"
28/11/2024,Tipperary University Hospital,Inpatient,Adult,59,7,2,0,68
28/11/2024,University Hospital Kerry,Inpatient,Adult,83,9,0,0,92
28/11/2024,University Hospital Limerick,Inpatient,Adult,309,146,71,29,555
28/11/2024,University Hospital Waterford,Inpatient,Adult,138,34,38,67,277
28/11/2024,Children's Health Ireland,Day Case,Child,"1,812",868,498,489,"3,667"
28/11/2024,Cork University Hospital,Day Case,Child,153,105,52,36,346
28/11/2024,Galway University Hospitals,Day Case,Child,225,141,74,50,490
28/11/2024,Letterkenny University Hospital,Day Case,Child,44,5,2,0,51
28/11/2024,Midland Regional Hospital Mullingar,Day Case,Child,29,15,0,0,44
28/11/2024,Midland Regional Hospital Tullamore,Day Case,Child,49,0,0,0,49
28/11/2024,Our Lady of Lourdes Hospital Drogheda,Day Case,Child,59,27,13,0,99
28/11/2024,Royal Victoria Eye and Ear Hospital,Day Case,Child,43,13,4,0,60
28/11/2024,Sligo University Hospital,Day Case,Child,75,8,2,2,87
28/11/2024,Small Volume Hospitals,Day Case,Child,109,11,4,2,126
28/11/2024,South Infirmary Victoria University Hospital,Day Case,Child,124,45,2,2,173
28/11/2024,University Hospital Limerick,Day Case,Child,162,79,45,7,293
28/11/2024,University Hospital Waterford,Day Case,Child,93,38,32,18,181
28/11/2024,Children's Health Ireland,Inpatient,Child,"1,081",474,261,342,"2,158"
28/11/2024,Galway University Hospitals,Inpatient,Child,91,61,63,15,230
28/11/2024,Midland Regional Hospital Tullamore,Inpatient,Child,123,0,0,0,123
28/11/2024,National Orthopaedic Hospital Cappagh,Inpatient,Child,28,13,2,0,43
28/11/2024,Royal Victoria Eye and Ear Hospital,Inpatient,Child,14,11,7,2,34
28/11/2024,Sligo University Hospital,Inpatient,Child,37,4,0,0,40
28/11/2024,Small Volume Hospitals,Inpatient,Child,13,12,2,2,29
28/11/2024,South Infirmary Victoria University Hospital,Inpatient,Child,63,20,2,0,85
28/11/2024,University Hospital Limerick,Inpatient,Child,26,4,8,2,39
