ArchiveDate,Hospital_Name,Case_Type,Adult_Child,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
30/01/2025,Bantry General Hospital,Day Case,Adult,210,28,16,25,279
30/01/2025,Beaumont Hospital,Day Case,Adult,"3,446","1,794",447,294,"5,981"
30/01/2025,Cavan General Hospital,Day Case,Adult,359,21,11,2,393
30/01/2025,Connolly Hospital Blanchardstown,Day Case,Adult,"1,121",77,0,0,"1,198"
30/01/2025,Coombe Women and Infants University Hospital,Day Case,Adult,95,14,4,0,113
30/01/2025,Cork University Hospital,Day Case,Adult,693,231,81,57,"1,062"
30/01/2025,Cork University Maternity Hospital,Day Case,Adult,389,53,6,2,450
30/01/2025,Croom Orthopaedic Hospital,Day Case,Adult,342,0,0,0,342
30/01/2025,Ennis Hospital,Day Case,Adult,465,111,9,0,585
30/01/2025,Galway University Hospitals,Day Case,Adult,"5,107","1,963",568,586,"8,224"
30/01/2025,Kilcreene Regional Orthopaedic Hospital,Day Case,Adult,238,12,0,0,250
30/01/2025,Letterkenny University Hospital,Day Case,Adult,"1,231",111,31,20,"1,393"
30/01/2025,Louth County Hospital,Day Case,Adult,694,28,0,0,722
30/01/2025,Mallow General Hospital,Day Case,Adult,276,121,52,28,477
30/01/2025,Mater Misericordiae University Hospital,Day Case,Adult,"3,456",803,241,494,"4,994"
30/01/2025,Mayo University Hospital,Day Case,Adult,609,39,4,2,654
30/01/2025,Mercy University Hospital,Day Case,Adult,546,65,4,0,615
30/01/2025,Midland Regional Hospital Mullingar,Day Case,Adult,589,104,51,2,746
30/01/2025,Midland Regional Hospital Portlaoise,Day Case,Adult,312,41,34,15,402
30/01/2025,Midland Regional Hospital Tullamore,Day Case,Adult,810,183,2,0,995
30/01/2025,Naas General Hospital,Day Case,Adult,237,50,4,0,291
30/01/2025,National Orthopaedic Hospital Cappagh,Day Case,Adult,471,27,2,2,502
30/01/2025,Nenagh Hospital,Day Case,Adult,895,463,18,0,"1,376"
30/01/2025,Our Lady of Lourdes Hospital Drogheda,Day Case,Adult,414,156,43,0,613
30/01/2025,Our Lady's Hospital Navan,Day Case,Adult,684,89,0,0,773
30/01/2025,Portiuncula University Hospital,Day Case,Adult,467,107,51,7,632
30/01/2025,Roscommon University Hospital,Day Case,Adult,387,143,97,57,684
30/01/2025,Rotunda Hospital,Day Case,Adult,137,29,12,12,190
30/01/2025,Royal Victoria Eye and Ear Hospital,Day Case,Adult,"1,769",426,185,77,"2,457"
30/01/2025,Sligo University Hospital,Day Case,Adult,"1,376",478,206,129,"2,189"
30/01/2025,South Infirmary Victoria University Hospital,Day Case,Adult,"2,228",857,325,452,"3,862"
30/01/2025,St. Columcille's Hospital,Day Case,Adult,267,47,41,2,357
30/01/2025,St. James's Hospital,Day Case,Adult,"2,257",791,301,250,"3,599"
30/01/2025,St. John's Hospital Limerick,Day Case,Adult,230,40,2,0,272
30/01/2025,St. Luke's General Hospital Kilkenny,Day Case,Adult,512,115,41,54,722
30/01/2025,St. Michael's Hospital,Day Case,Adult,713,145,24,18,900
30/01/2025,St. Vincent's University Hospital,Day Case,Adult,"2,127",536,118,141,"2,922"
30/01/2025,Tallaght University Hospital,Day Case,Adult,"2,045",323,139,26,"2,533"
