ArchiveDate,Hospital_Name,Case_Type,Adult_Child,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
29/04/2021,Bantry General Hospital,Day Case,Adult,149,110,14,3,275
29/04/2021,Beaumont Hospital,Day Case,Adult,"2,349",510,180,62,"3,101"
29/04/2021,Cavan General Hospital,Day Case,Adult,243,56,11,0,310
29/04/2021,Connolly Hospital Blanchardstown,Day Case,Adult,512,75,13,12,612
29/04/2021,Coombe Women and Infants University Hospital,Day Case,Adult,116,24,3,3,145
29/04/2021,Cork University Hospital,Day Case,Adult,476,115,110,110,811
29/04/2021,Cork University Maternity Hospital,Day Case,Adult,153,33,14,17,217
29/04/2021,Croom Orthopaedic Hospital,Day Case,Adult,328,117,67,3,515
29/04/2021,Ennis Hospital,Day Case,Adult,275,124,49,3,451
29/04/2021,Galway University Hospitals,Day Case,Adult,"2,840","1,098",862,"1,202","6,002"
29/04/2021,Kilcreene Regional Orthopaedic Hospital,Day Case,Adult,73,8,5,0,86
29/04/2021,Letterkenny University Hospital,Day Case,Adult,"1,007",696,344,273,"2,320"
29/04/2021,Louth County Hospital,Day Case,Adult,495,94,15,3,607
29/04/2021,Mallow General Hospital,Day Case,Adult,135,49,11,8,203
29/04/2021,Mater Misericordiae University Hospital,Day Case,Adult,"2,219",676,330,506,"3,731"
29/04/2021,Mayo University Hospital,Day Case,Adult,351,145,123,257,876
29/04/2021,Mercy University Hospital,Day Case,Adult,403,131,134,151,819
29/04/2021,Midland Regional Hospital Mullingar,Day Case,Adult,401,232,106,8,747
29/04/2021,Midland Regional Hospital Portlaoise,Day Case,Adult,268,105,61,34,468
29/04/2021,Midland Regional Hospital Tullamore,Day Case,Adult,498,75,55,80,708
29/04/2021,Naas General Hospital,Day Case,Adult,195,110,57,23,385
29/04/2021,National Orthopaedic Hospital Cappagh,Day Case,Adult,346,49,5,3,403
29/04/2021,Nenagh Hospital,Day Case,Adult,575,375,582,278,"1,810"
29/04/2021,Our Lady of Lourdes Hospital Drogheda,Day Case,Adult,198,41,3,0,242
29/04/2021,Our Lady's Hospital Navan,Day Case,Adult,403,79,26,7,515
29/04/2021,Portiuncula University Hospital,Day Case,Adult,242,73,82,77,474
29/04/2021,Roscommon University Hospital,Day Case,Adult,497,181,135,85,898
29/04/2021,Royal Victoria Eye and Ear Hospital,Day Case,Adult,"1,034",291,162,93,"1,580"
